id1,id2,val
53251,55750,1
53251,146211,1
53251,267335,1
53251,55076,-1
146211,267335,1
55076,146211,-1
55076,267335,0
55750,146211,1
55750,182972,1
146211,182972,1
208897,267335,-1
53648,53820,1
16,597,1
16,184190,1
68136,182377,1
56776,84066,1
16,58631,1
597,58631,1
58631,110015,1
53517,58631,1
16,110015,1
16,53517,1
597,110015,1
597,53517,1
53517,110015,1
16,267335,1
1589,53777,0
1589,53648,1
1589,179610,0
1589,53699,1
1589,3150,0
1589,53392,0
53648,53777,1
53777,179610,1
53699,53777,1
3150,53777,1
53392,53777,1
53648,179610,1
53648,53699,1
3150,53648,1
53392,53648,1
53699,179610,1
3150,179610,1
53392,179610,1
3150,53699,1
53392,53699,1
3150,53392,1
81475,108521,1
56776,108521,1
108521,209218,1
84066,108521,1
56776,81475,1
81475,209218,1
81475,84066,1
56776,209218,1
84066,209218,1
53038,108521,1
55076,108521,1
55743,108521,1
80145,108521,1
87641,108521,1
108521,171688,1
108521,264561,1
53392,108521,1
108521,193743,1
53038,55076,1
53038,55743,1
53038,80145,1
53038,87641,1
53038,171688,1
53038,264561,1
53038,53392,1
53038,193743,1
55076,55743,1
55076,80145,1
55076,87641,1
55076,171688,1
55076,264561,1
53392,55076,1
55076,193743,1
55743,80145,1
55743,87641,1
55743,171688,1
55743,264561,1
53392,55743,1
55743,193743,1
80145,87641,1
80145,171688,1
80145,264561,1
53392,80145,1
80145,193743,1
87641,171688,1
87641,264561,1
53392,87641,1
87641,193743,1
171688,264561,1
53392,171688,1
171688,193743,1
53392,264561,1
193743,264561,1
53392,193743,1
651,108521,1
651,84066,1
53777,171688,0
171688,179610,1
53777,55076,0
53777,87641,0
53777,80145,0
55076,179610,1
87641,179610,1
80145,179610,1
515,78399,1
597,267335,1
452,267335,1
16,452,1
3150,267335,0
61256,67736,1
55750,67736,1
55750,61256,1
296,2970,-1
53648,264561,1
61256,126503,1
55750,126503,1
53777,58717,0
53777,209218,0
53777,84066,0
43929,53777,0
58717,209218,0
58717,84066,0
43929,58717,0
43929,209218,0
43929,84066,0
53648,56143,1
56143,56894,1
53648,266333,1
66365,81475,0
76899,81475,-1
81475,264561,1
66365,76899,1
66365,264561,0
76899,264561,-1
5351,53648,1
53648,57536,1
53648,54660,1
5351,53699,1
5351,57536,1
5351,54660,1
53699,57536,1
53699,54660,1
54660,57536,1
43929,81475,0
55205,125110,1
7977,125110,1
7977,55205,1
5351,183555,0
53648,183555,1
66347,66365,1
218,66347,1
66347,192055,1
66347,191843,0
53564,66347,1
53357,66347,1
218,66365,1
66365,192055,1
66365,191843,-1
53564,66365,1
53357,66365,0
218,192055,1
218,191843,0
218,53564,1
218,53357,0
191843,192055,0
53564,192055,1
53357,192055,0
53564,191843,-1
53357,191843,1
53357,53564,1
53603,57536,1
57536,191031,1
1589,57536,1
53603,53648,1
53648,191031,1
53603,53699,1
53699,191031,1
53603,191031,1
1589,53603,1
1589,191031,1
66365,180707,1
179,66365,1
66365,193367,1
66365,132035,-1
66365,191629,-1
66365,192519,-1
3723,66365,1
218,180707,0
179,218,1
218,193367,1
218,132035,-1
218,191629,-1
218,192519,-1
218,3723,1
179,180707,-1
180707,193367,1
132035,180707,1
180707,191629,1
53357,180707,1
180707,192519,1
3723,180707,-1
179,193367,1
179,132035,-1
179,191629,-1
179,53357,-1
179,192519,-1
179,3723,1
132035,193367,-1
191629,193367,-1
53357,193367,1
192519,193367,-1
3723,193367,1
132035,191629,1
53357,132035,1
132035,192519,1
3723,132035,-1
53357,191629,1
191629,192519,1
3723,191629,-1
53357,192519,1
3723,53357,-1
3723,192519,-1
515,125110,1
53564,125110,1
53734,66347,0
56117,66347,-1
53734,56117,1
56117,66365,1
66347,186201,1
218,186201,1
53564,186201,1
218,53734,1
53734,66365,1
53734,180707,1
53648,53734,0
53734,191843,0
53564,53734,0
53357,53734,0
218,53648,1
53648,66365,1
53648,180707,0
180707,191843,1
53564,180707,1
53648,191843,0
53564,53648,1
53357,53648,1
16,77107,1
53337,69557,1
670,55430,1
597,55430,1
55430,76637,1
597,670,1
670,76637,1
597,76637,1
53337,53648,1
16,670,1
2970,78399,0
16,186275,0
16,53949,1
16,67432,0
16,3150,0
16,264561,0
16,53648,1
16,69557,0
16,266333,0
53949,186275,0
67432,186275,0
597,186275,-1
3150,186275,-1
186275,264561,0
53517,186275,1
53648,186275,0
69557,186275,0
186275,266333,0
53949,67432,0
597,53949,-1
3150,53949,0
53949,264561,0
53517,53949,1
53648,53949,1
53949,69557,0
53949,266333,0
597,67432,0
3150,67432,1
67432,264561,1
53517,67432,0
53648,67432,1
67432,69557,0
67432,266333,1
597,3150,0
597,264561,1
597,53648,0
597,69557,0
597,266333,0
3150,264561,0
3150,53517,-1
3150,69557,0
3150,266333,1
53517,264561,0
69557,264561,0
264561,266333,1
53517,53648,0
53517,69557,0
53517,266333,0
53648,69557,1
69557,266333,1
57186,66365,1
57186,132035,1
264561,267335,1
53734,180525,1
630,53734,1
53734,57186,1
56117,180525,1
630,180525,1
66365,180525,1
180525,180707,1
57186,180525,1
630,56117,1
56117,180707,1
56117,57186,1
630,66365,1
630,180707,1
630,57186,1
57186,180707,1
57299,69557,1
57299,266333,1
53648,57299,1
58705,61684,1
53949,77107,1
56904,159771,1
2970,125110,1
57299,110531,1
53699,57299,1
53564,173563,1
53820,173563,1
53564,53820,1
1989,78399,1
16,208897,1
1503,80233,1
670,1503,1
670,80233,1
55076,89822,1
55743,89822,1
67527,89822,1
55076,67527,1
55743,67527,1
53777,91962,1
651,56776,1
53357,56117,1
56117,193367,1
53357,57186,1
57186,193367,1
218,173563,1
53949,69860,1
16,69860,1
452,69860,1
34,69860,1
670,69860,1
597,69860,0
69860,267335,1
53517,69860,1
452,53949,1
34,53949,1
670,53949,1
53949,267335,1
16,34,1
34,452,1
452,670,1
452,597,1
452,53517,1
34,670,1
34,597,1
34,267335,1
34,53517,1
670,267335,1
670,53517,1
53517,267335,1
2970,7977,1
57299,57536,1
57536,69557,1
218,56117,-1
53777,55743,-1
53648,55743,1
260,55743,1
55743,189435,0
55743,80233,-1
55743,69557,-1
55743,191031,0
55743,97322,-1
260,53777,-1
53777,189435,0
53777,80233,1
53777,69557,1
53777,191031,0
53777,97322,1
260,53648,1
53648,189435,0
53648,80233,0
53648,87641,0
53648,97322,0
260,189435,0
260,80233,-1
260,87641,0
260,69557,-1
260,191031,0
260,97322,-1
80233,189435,0
