id1,id2,val
23154,53564,1
570,2970,1
570,58998,1
570,65068,1
570,579,1
570,1857,1
2970,58998,1
2970,65068,1
579,2970,1
1857,2970,1
58998,65068,1
579,58998,1
1857,58998,1
579,65068,1
1857,65068,1
579,1857,1
53564,55845,1
111,53564,1
53564,260849,1
53564,71915,1
53564,87218,1
111,55845,1
55845,260849,1
55845,71915,1
55845,87218,1
111,260849,1
111,71915,1
111,87218,1
71915,260849,1
87218,260849,1
71915,87218,1
53564,66365,1
53564,60285,1
53357,53564,1
60285,66365,1
53357,66365,1
53357,60285,1
260,53564,1
111,260,1
58705,124776,1
53648,53820,1
53648,53777,1
53777,53820,1
76637,96528,-1
3804,115061,0
3804,53517,0
3804,264935,1
3150,3804,-1
3804,266333,1
3804,53648,1
3804,55076,1
3804,57299,1
296,3804,1
3804,67432,1
3804,76637,0
3804,53337,1
3804,267335,0
3804,264561,1
16,3804,0
3804,53820,0
3804,55430,0
53517,115061,0
115061,264935,0
3150,115061,0
115061,266333,0
53648,115061,0
55076,115061,0
57299,115061,0
296,115061,0
67432,115061,0
76637,115061,0
53337,115061,0
115061,267335,0
115061,264561,0
16,115061,0
53820,115061,0
55430,115061,0
53517,264935,1
3150,53517,-1
53517,266333,1
53517,53648,0
53517,55076,0
53517,57299,0
296,53517,0
53517,67432,0
53517,76637,0
53337,53517,1
53517,267335,1
53517,264561,1
16,53517,1
53517,53820,0
53517,55430,1
3150,264935,-1
264935,266333,1
53648,264935,1
55076,264935,1
57299,264935,1
296,264935,1
67432,264935,1
76637,264935,0
53337,264935,1
264935,267335,1
264561,264935,1
16,264935,1
53820,264935,0
55430,264935,1
3150,266333,-1
3150,53648,-1
3150,55076,-1
3150,57299,-1
296,3150,-1
3150,67432,-1
3150,76637,1
3150,53337,-1
3150,267335,0
3150,264561,-1
16,3150,-1
3150,53820,0
3150,55430,-1
53648,266333,1
55076,266333,1
57299,266333,1
296,266333,1
67432,266333,1
76637,266333,0
53337,266333,1
266333,267335,0
264561,266333,1
16,266333,1
53820,266333,0
55430,266333,1
53648,55076,1
53648,57299,1
296,53648,1
53648,67432,1
53648,76637,0
53337,53648,1
53648,267335,-1
53648,264561,1
16,53648,1
53648,55430,0
55076,57299,1
296,55076,1
55076,67432,1
55076,76637,0
53337,55076,1
55076,267335,0
55076,264561,1
16,55076,0
53820,55076,0
55076,55430,0
296,57299,1
57299,67432,1
57299,76637,1
53337,57299,1
57299,267335,0
57299,264561,1
16,57299,0
53820,57299,0
55430,57299,0
296,67432,1
296,76637,0
296,53337,1
296,267335,0
296,264561,1
16,296,0
296,53820,0
296,55430,0
67432,76637,0
53337,67432,1
67432,267335,0
67432,264561,1
16,67432,0
53820,67432,0
55430,67432,0
53337,76637,0
76637,267335,1
76637,264561,0
16,76637,1
53820,76637,0
55430,76637,0
53337,267335,0
53337,264561,1
16,53337,1
53337,53820,1
53337,55430,1
264561,267335,1
16,267335,1
53820,267335,1
55430,267335,1
16,264561,-1
53820,264561,0
55430,264561,-1
16,53820,0
16,55430,1
53820,55430,0
3804,78172,1
3804,69557,1
3804,53699,0
3804,62729,1
69557,78172,1
53699,78172,0
57299,78172,1
53648,78172,0
296,78172,1
62729,78172,1
53699,69557,0
57299,69557,1
53648,69557,1
296,69557,1
62729,69557,1
53699,57299,0
53648,53699,0
296,53699,0
53699,62729,0
57299,62729,1
53648,62729,0
296,62729,1
3804,53017,1
296,53017,1
53017,78172,1
53564,66347,1
53564,121597,1
66347,121597,1
55076,55743,1
55743,95988,1
55743,87641,1
53648,55743,1
55743,266333,1
53777,55743,1
55743,57536,1
55076,95988,1
87641,95988,1
53648,95988,1
95988,266333,1
53777,95988,1
57536,95988,1
55076,87641,1
53777,55076,1
55076,57536,1
53648,87641,1
87641,266333,1
53777,87641,1
57536,87641,1
53648,57536,1
53777,266333,1
57536,266333,1
53777,57536,1
5634,53564,1
5634,95988,1
53564,95988,1
53337,53777,1
53777,185686,1
53648,185686,1
53337,185686,1
115061,142350,0
53648,193367,1
3804,6166,-1
6166,78172,-1
3804,145731,0
53017,145731,0
78172,145731,0
53357,266333,1
630,53357,1
53357,57186,1
53357,139405,1
66365,266333,1
630,66365,1
57186,66365,1
66365,139405,1
630,266333,1
57186,266333,1
139405,266333,1
630,57186,1
630,139405,1
57186,139405,1
2261,76637,0
57536,76637,0
2261,57536,1
2261,67432,1
57536,67432,1
218,53564,1
218,60285,1
3804,77171,1
53017,77171,1
77171,78172,1
296,77171,1
296,145731,1
77171,145731,1
452,76637,-1
630,53648,1
53564,180707,0
53564,146211,0
146211,180707,0
66347,66365,1
16,53564,1
3284,53564,0
53564,184190,1
1908,53564,1
3284,184190,-1
1908,3284,0
1908,184190,0
53564,68216,1
3284,68216,-1
68216,184190,1
82,53564,1
452,62589,1
16,184190,1
95988,128727,0
53820,95988,1
95988,146649,1
179,95988,1
81475,95988,1
53820,128727,0
128727,146649,0
179,128727,0
81475,128727,0
53820,146649,1
179,53820,1
53820,81475,1
179,146649,1
81475,146649,1
179,81475,1
53337,95988,1
95988,208897,1
3804,95988,1
45216,95988,1
95988,264561,1
56143,95988,1
57665,95988,1
53337,208897,1
45216,53337,1
53337,56143,1
53337,57665,1
3804,208897,1
45216,208897,1
208897,264561,1
56143,208897,1
57665,208897,1
3804,45216,1
3804,56143,1
3804,57665,1
45216,264561,1
45216,56143,1
45216,57665,1
56143,264561,1
57665,264561,1
56143,57665,1
56904,159771,1
630,56117,1
53357,56117,1
