id1,id2,val
16,76637,-1
630,53357,1
53357,193743,1
53357,132035,1
53357,161895,1
53357,66365,1
630,193743,1
630,132035,1
630,161895,1
630,66365,1
132035,193743,1
161895,193743,1
66365,193743,1
132035,161895,1
66365,132035,1
66365,161895,1
53357,53392,-1
53357,180707,1
132035,180707,1
57186,103733,0
57186,66365,1
53564,57186,0
66365,103733,1
53564,103733,1
53564,66365,1
65357,192541,1
55645,192541,1
99941,192541,1
192541,197227,1
16,192541,1
263,192541,1
54247,192541,1
192541,201828,1
570,192541,1
58048,192541,1
72809,192541,1
57536,192541,1
55645,65357,1
65357,99941,1
65357,197227,1
16,65357,1
263,65357,1
54247,65357,1
65357,201828,1
570,65357,1
58048,65357,1
65357,72809,1
57536,65357,1
55645,99941,1
55645,197227,1
16,55645,1
263,55645,1
54247,55645,1
55645,201828,1
570,55645,1
55645,58048,1
55645,72809,1
55645,57536,1
99941,197227,1
16,99941,1
263,99941,1
54247,99941,1
99941,201828,1
570,99941,1
58048,99941,1
72809,99941,1
57536,99941,1
16,197227,1
263,197227,1
54247,197227,1
197227,201828,1
570,197227,1
58048,197227,1
72809,197227,1
57536,197227,1
16,263,1
16,54247,1
16,201828,1
16,570,1
16,58048,1
16,72809,1
16,57536,1
263,54247,1
263,201828,1
263,570,1
263,58048,1
263,72809,1
263,57536,1
54247,201828,1
570,54247,1
54247,58048,1
54247,72809,1
54247,57536,1
570,201828,1
58048,201828,1
72809,201828,1
57536,201828,1
570,58048,1
570,72809,1
570,57536,1
58048,72809,1
57536,58048,1
57536,72809,1
66365,197303,1
66365,193132,1
218,66365,1
53648,66365,1
66365,193460,1
193132,197303,1
218,197303,1
53648,197303,1
193460,197303,1
53357,197303,1
218,193132,1
53648,193132,1
193132,193460,1
53357,193132,1
218,53648,1
218,193460,1
218,53357,1
53648,193460,1
53357,53648,1
53357,193460,1
53392,53648,1
53648,53699,1
53648,142469,1
53648,53777,1
53648,266333,1
53648,57299,1
53392,53699,1
53392,142469,1
53392,53777,1
53392,266333,1
53392,57299,1
53699,142469,1
53699,53777,1
53699,266333,1
53699,57299,1
53777,142469,1
142469,266333,1
57299,142469,1
53777,266333,1
53777,57299,1
57299,266333,1
218,53564,1
53357,53564,1
82,53564,1
53564,66347,1
179,53564,1
53564,197428,1
53564,203509,1
82,66365,1
66347,66365,1
179,66365,1
66365,197428,-1
66365,203509,0
82,53357,1
53357,66347,1
179,53357,1
53357,197428,1
53357,203509,1
82,66347,1
82,179,1
82,197428,1
82,203509,1
179,66347,1
66347,197428,0
66347,203509,0
179,197428,1
179,203509,1
197428,203509,1
77107,267335,-1
570,78399,0
7977,53280,1
263,515,1
515,55064,1
263,55064,1
515,53280,1
263,53280,1
515,53648,1
515,43929,1
515,142350,1
43929,53648,1
53648,142350,1
43929,142350,1
3284,76637,1
7977,76637,0
3284,7977,0
16,3284,1
16,7977,-1
597,76637,1
53734,103733,1
53734,66365,1
76637,128727,1
76637,200066,1
76637,208897,0
128727,200066,1
128727,208897,0
16,128727,-1
200066,208897,0
16,200066,0
16,208897,1
53949,77107,1
452,77107,1
452,53949,1
80233,124776,1
1589,53648,1
1589,53699,1
1589,266333,1
53337,53392,1
53392,95988,1
1589,53392,1
53337,95988,1
1589,53337,1
53337,266333,1
1589,95988,1
95988,266333,1
43929,76637,0
16,43929,1
53392,193743,1
53392,209218,1
193743,209218,1
95988,193743,1
95988,209218,1
191843,192519,1
3723,192519,-1
515,20744,1
515,7977,1
7977,20744,1
3150,77107,-1
77107,196351,1
77107,110015,1
57963,77107,-1
3150,196351,-1
452,3150,-1
3150,110015,-1
3150,57963,1
452,196351,1
110015,196351,1
57963,196351,-1
452,110015,1
452,57963,-1
57963,110015,-1
55430,194314,1
82,53820,1
63357,180707,0
82,218,1
218,66347,1
84066,209218,1
53087,209218,1
53564,209218,1
60285,209218,1
1503,209218,0
56894,209218,0
59120,209218,1
1857,209218,0
54069,209218,1
209218,262708,1
218,209218,1
53087,84066,1
53564,84066,1
60285,84066,1
1503,84066,0
56894,84066,0
59120,84066,1
1857,84066,0
54069,84066,1
84066,262708,1
218,84066,1
53087,53564,1
53087,60285,1
1503,53087,0
53087,56894,0
53087,59120,1
1857,53087,0
53087,54069,1
53087,262708,1
218,53087,1
53564,60285,1
1503,53564,0
53564,56894,0
53564,59120,1
1857,53564,0
53564,54069,1
53564,262708,1
1503,60285,0
56894,60285,0
59120,60285,1
1857,60285,0
54069,60285,0
60285,262708,1
218,60285,1
1503,56894,0
1503,59120,0
1503,1857,0
1503,54069,0
1503,262708,0
218,1503,0
56894,59120,0
1857,56894,0
54069,56894,0
56894,262708,0
218,56894,0
1857,59120,0
54069,59120,1
59120,262708,1
218,59120,1
1857,54069,0
1857,262708,0
218,1857,0
54069,262708,1
218,54069,1
218,262708,1
16,264561,1
53517,264561,1
53648,264561,1
69557,264561,0
264561,266333,1
3804,264561,1
115061,264561,-1
264561,264935,1
3150,264561,-1
55076,264561,1
57299,264561,1
296,264561,1
67432,264561,1
76637,264561,0
53337,264561,1
264561,267335,0
53820,264561,0
55430,264561,0
53517,53648,1
53517,69557,0
53517,266333,1
3804,53517,1
53517,115061,0
53517,264935,1
3150,53517,-1
53517,55076,1
53517,57299,1
296,53517,1
53517,67432,1
53517,76637,0
53337,53517,1
53517,267335,1
16,53517,1
53517,53820,0
53517,55430,1
53648,69557,1
3804,53648,1
53648,115061,0
53648,264935,1
3150,53648,-1
53648,55076,1
296,53648,1
53648,67432,1
53648,76637,0
53337,53648,1
53648,267335,-1
16,53648,1
53648,53820,1
53648,55430,1
69557,266333,1
3804,69557,1
69557,115061,0
69557,264935,0
3150,69557,0
55076,69557,0
57299,69557,1
296,69557,1
67432,69557,0
69557,76637,0
53337,69557,0
69557,267335,0
16,69557,0
53820,69557,0
55430,69557,0
3804,266333,1
115061,266333,0
264935,266333,1
3150,266333,-1
55076,266333,1
296,266333,1
67432,266333,1
76637,266333,0
266333,267335,0
16,266333,1
53820,266333,0
55430,266333,1
3804,115061,0
3804,264935,1
3150,3804,-1
3804,55076,1
3804,57299,1
296,3804,1
3804,67432,1
3804,76637,0
3804,53337,1
3804,267335,0
16,3804,0
3804,53820,0
3804,55430,0
115061,264935,0
3150,115061,0
55076,115061,0
57299,115061,0
296,115061,0
67432,115061,0
76637,115061,0
53337,115061,0
115061,267335,0
16,115061,0
53820,115061,0
55430,115061,0
3150,264935,-1
55076,264935,1
57299,264935,1
296,264935,1
67432,264935,1
76637,264935,0
53337,264935,1
264935,267335,1
16,264935,1
53820,264935,0
55430,264935,1
3150,55076,-1
3150,57299,-1
296,3150,-1
3150,67432,-1
3150,76637,1
3150,53337,-1
3150,267335,0
16,3150,-1
3150,53820,0
3150,55430,-1
55076,57299,1
296,55076,1
55076,67432,1
55076,76637,0
53337,55076,1
55076,267335,0
16,55076,0
53820,55076,0
55076,55430,0
296,57299,1
57299,67432,1
57299,76637,1
53337,57299,1
57299,267335,0
16,57299,0
53820,57299,0
55430,57299,0
296,67432,1
296,76637,0
296,53337,1
296,267335,0
16,296,0
296,53820,0
296,55430,0
67432,76637,0
53337,67432,1
67432,267335,0
16,67432,0
53820,67432,0
55430,67432,0
53337,76637,0
76637,267335,0
53820,76637,0
55430,76637,0
53337,267335,0
16,53337,1
53337,53820,1
53337,55430,1
16,267335,1
53820,267335,1
55430,267335,1
16,53820,0
16,55430,1
53820,55430,0
670,267335,1
60285,66365,1
53357,60285,1
82,60285,1
3723,66365,1
630,3723,0
180707,191843,1
53777,53820,1
53820,76456,-1
53648,76456,-1
34,670,1
452,670,1
670,53564,1
34,452,1
34,53564,1
452,53564,1
53392,53603,1
53777,95988,1
53603,95988,1
53337,53777,1
53603,53777,1
53337,53603,1
53392,86531,0
53392,57186,0
53392,53564,0
630,53392,0
53648,86531,1
53648,57186,0
53564,53648,0
630,53648,1
53337,86531,1
57186,86531,1
53564,86531,0
630,86531,1
53357,86531,1
53337,57186,0
53337,53564,0
630,53337,1
53337,53357,0
630,57186,1
53357,57186,1
630,53564,0
260849,264561,1
53564,144159,1
53564,81930,1
66347,81930,1
53280,54247,1
45216,53280,0
45216,54247,0
3723,53357,1
66365,193367,1
66365,180707,1
56117,66365,1
66365,266333,1
66365,139405,1
180707,193367,1
56117,193367,1
193367,193743,1
53357,193367,1
193367,266333,1
630,193367,1
57186,193367,1
139405,193367,1
56117,180707,1
180707,193743,1
180707,266333,1
630,180707,1
57186,180707,1
139405,180707,1
56117,193743,1
53357,56117,1
56117,266333,1
630,56117,1
56117,57186,1
56117,139405,1
193743,266333,1
57186,193743,1
139405,193743,1
53357,266333,1
53357,139405,1
630,266333,1
57186,266333,1
139405,266333,1
630,139405,1
57186,139405,1
193367,193460,1
23883,95988,1
170165,262708,1
23883,53337,1
23883,142469,1
53337,142469,1
23883,53648,1
1857,53280,0
515,1857,0
60164,193416,0
53648,95988,1
55076,95988,1
452,53517,1
53517,184190,1
53517,196359,1
1908,53517,1
670,53517,1
16,452,1
16,184190,1
16,196359,1
16,1908,1
16,670,1
452,184190,1
452,196359,1
452,1908,1
184190,196359,1
1908,184190,1
670,184190,1
1908,196359,1
670,196359,1
670,1908,1
20744,125110,1
7977,125110,1
2970,20744,1
20744,58998,1
2970,125110,1
58998,125110,1
2970,58998,1
3019,202398,-1
79626,260849,1
53564,260849,1
53564,79626,1
132035,194380,1
53357,194380,0
630,194380,1
58048,132035,0
630,58048,1
57186,132035,1
86531,180707,1
86531,132035,0
66365,86531,1
66347,86531,1
263,20744,1
1989,20744,0
570,20744,1
20744,54247,1
1857,20744,0
20744,55064,0
20744,53280,1
515,1989,0
515,570,1
515,54247,1
515,2970,1
263,1989,1
263,1857,0
263,2970,1
570,1989,0
1989,54247,0
1857,1989,0
1989,55064,0
1989,2970,1
1989,53280,0
570,1857,1
570,55064,0
570,2970,1
570,53280,1
1857,54247,0
54247,55064,0
2970,54247,1
1857,55064,1
1857,2970,1
2970,55064,0
53280,55064,0
2970,53280,1
126503,260849,1
20744,78399,1
53517,128727,1
452,128727,1
452,55430,1
670,128727,0
55430,128727,1
670,55430,1
110015,194141,1
16,194141,1
16,110015,1
43929,267335,1
196351,267335,1
43929,196351,1
95988,194099,1
53337,194099,-1
100281,194099,1
3150,194099,1
95988,100281,1
3150,95988,1
53337,100281,-1
3150,100281,1
20744,53337,0
20744,266333,0
515,53337,0
263,53337,0
1989,53337,0
53337,55064,0
1857,53337,0
570,53337,0
515,266333,-1
263,266333,1
1989,266333,0
55064,266333,0
1857,266333,0
570,266333,-1
7977,78399,1
34,515,1
34,55430,0
34,267335,1
34,53280,1
34,110015,1
34,53517,-1
34,7977,0
515,55430,0
515,267335,0
452,515,0
515,110015,0
515,53517,-1
53280,55430,1
55430,110015,1
7977,55430,1
452,267335,1
53280,267335,0
110015,267335,1
7977,267335,1
452,53280,0
452,7977,0
53280,110015,0
53280,53517,-1
53517,110015,1
7977,110015,0
7977,53517,1
56904,266333,-1
56904,159771,1
2970,7977,1
2970,78399,1
2970,53357,-1
20744,53357,-1
78399,125110,1
53357,125110,-1
7977,53357,-1
53357,78399,-1
53820,159906,-1
65357,168168,1
53357,168168,1
53357,65357,1
77171,78399,1
16,78399,1
16,77171,1
53777,86531,-1
82,53777,0
82,86531,0
570,53564,1
58880,194974,1
53197,56823,1
71915,84066,1
66347,84066,1
111,84066,1
66365,84066,1
84066,136897,1
84066,197428,-1
84066,139405,-1
84066,203509,-1
81475,84066,1
260,84066,1
66347,71915,1
71915,209218,1
111,71915,1
218,71915,1
54069,71915,0
71915,262708,1
66365,71915,1
71915,136897,1
71915,197428,-1
71915,139405,-1
71915,203509,-1
71915,81475,1
260,71915,1
66347,209218,1
111,66347,1
54069,66347,0
66347,262708,1
66347,136897,1
66347,139405,-1
66347,81475,1
260,66347,1
111,209218,0
66365,209218,1
136897,209218,1
197428,209218,-1
139405,209218,-1
203509,209218,-1
81475,209218,1
260,209218,1
111,218,1
111,54069,0
111,262708,0
111,66365,1
111,136897,1
111,197428,0
111,139405,0
111,203509,0
111,81475,0
111,260,1
218,136897,1
218,197428,-1
218,139405,-1
218,203509,-1
218,81475,1
218,260,1
54069,66365,1
54069,136897,0
54069,197428,0
54069,139405,0
54069,203509,0
54069,81475,1
260,54069,1
66365,262708,1
136897,262708,1
197428,262708,-1
139405,262708,-1
203509,262708,-1
81475,262708,1
260,262708,1
66365,136897,1
66365,81475,1
260,66365,1
136897,197428,-1
136897,139405,-1
136897,203509,-1
81475,136897,1
260,136897,1
139405,197428,1
81475,197428,-1
260,197428,-1
139405,203509,1
81475,139405,-1
260,139405,-1
81475,203509,-1
260,203509,-1
260,81475,1
263,53093,1
53093,195255,1
263,195255,1
194640,194667,1
64944,194967,-1
452,76637,-1
65065,69557,1
20744,53197,1
53522,65357,1
53337,153996,1
7977,53777,1
156782,195478,1
515,78399,1
7977,56894,1
56894,125110,1
66347,126503,1
55948,66347,1
53820,66347,0
53197,66347,1
55845,66347,1
66347,260849,1
66347,87218,1
55948,126503,1
53820,126503,0
260,126503,1
53197,126503,1
53564,126503,1
55845,126503,1
111,126503,1
71915,126503,1
87218,126503,1
53820,55948,0
260,55948,1
53197,55948,1
53564,55948,1
55845,55948,1
111,55948,1
55948,260849,1
55948,71915,1
55948,87218,1
260,53820,0
53197,53820,0
53564,53820,0
53820,55845,0
111,53820,0
53820,260849,0
53820,71915,0
53820,87218,0
260,53197,1
260,53564,1
260,55845,1
260,260849,1
260,87218,1
53197,53564,1
53197,55845,1
111,53197,1
53197,260849,1
53197,71915,1
53197,87218,1
53564,55845,1
111,53564,1
53564,71915,1
53564,87218,1
111,55845,1
55845,260849,1
55845,71915,1
55845,87218,1
111,260849,1
111,87218,1
71915,260849,1
87218,260849,1
71915,87218,1
7977,53648,1
263,7977,1
1989,7977,1
515,53357,1
55076,76799,1
53648,76799,0
55743,76799,0
65792,76799,0
67527,76799,1
55076,55743,1
55076,65792,1
55076,67527,1
53648,55743,1
53648,65792,1
53648,67527,1
55743,65792,1
55743,67527,1
65792,67527,1
670,110015,1
54772,55948,1
55948,146211,1
54772,126503,1
126503,146211,1
53197,54772,1
54772,146211,1
111,54772,1
53197,146211,1
111,146211,1
597,53648,1
1857,125110,0
3150,125110,1
570,125110,1
1857,3150,0
570,3150,0
55743,95988,1
55743,87641,1
55743,266333,1
53777,55743,1
55743,57536,1
55076,87641,1
53777,55076,1
55076,57536,1
67527,95988,1
87641,95988,1
57536,95988,1
67527,87641,1
67527,266333,1
53777,67527,1
57536,67527,1
53648,87641,1
53648,57536,1
87641,266333,1
53777,87641,1
57536,87641,1
57536,266333,1
53777,57536,1
452,196377,1
16,597,1
452,597,1
263,125110,1
66365,69557,0
76799,100281,1
76799,95988,1
57186,57299,1
57299,86531,1
670,208897,1
77107,208897,1
53251,208897,1
196351,208897,1
110015,208897,1
7977,208897,0
670,77107,1
670,53251,1
670,196351,1
670,7977,0
53251,77107,1
7977,77107,0
16,77107,1
53251,196351,1
53251,110015,1
7977,53251,0
16,53251,1
7977,196351,0
16,196351,1
171416,208897,1
16,70821,1
82,71915,1
53017,266333,1
70120,184190,1
70120,196359,1
597,128727,-1
452,200066,1
452,264935,1
452,105460,1
452,59586,1
452,96528,1
670,200066,1
670,264935,1
670,105460,1
670,59586,1
597,670,1
670,96528,1
200066,264935,1
200066,267335,1
55430,200066,1
105460,200066,1
110015,200066,1
59586,200066,1
597,200066,1
96528,200066,1
53517,200066,1
105460,264935,1
110015,264935,1
59586,264935,1
597,264935,1
96528,264935,1
105460,267335,1
59586,267335,1
597,267335,1
96528,267335,1
55430,105460,1
55430,59586,1
597,55430,1
55430,96528,1
105460,110015,1
59586,105460,1
597,105460,1
96528,105460,1
16,105460,1
53517,105460,1
59586,110015,1
597,110015,0
96528,110015,1
597,59586,1
59586,96528,1
16,59586,1
53517,59586,1
597,96528,0
597,53517,1
16,96528,1
53517,96528,1
16,66347,-1
16,70120,1
452,70120,1
452,180707,0
452,146211,0
53564,110015,0
110015,180707,0
110015,146211,0
16,53564,1
16,180707,0
16,146211,0
53564,180707,0
53564,146211,0
146211,180707,0
16,204855,1
128727,204855,0
7977,128727,1
53517,204855,0
7977,204855,1
3804,77171,1
53017,77171,1
296,77171,1
3804,53017,1
296,53017,1
66365,95988,1
66365,128727,0
53820,66365,1
66365,146649,1
95988,128727,0
53820,95988,1
95988,146649,1
179,95988,1
53820,128727,0
128727,146649,0
179,128727,0
53820,146649,1
179,53820,1
179,146649,1
16,218,1
452,66347,1
128727,180707,-1
53337,180707,-1
53337,128727,1
197324,202521,0
142469,197227,1
452,68216,0
452,69972,0
452,570,0
452,81938,0
597,53949,0
53949,68216,0
53949,69972,0
53949,55430,0
53949,267335,1
53564,53949,0
570,53949,0
53949,110015,0
53949,81938,0
597,68216,0
597,69972,0
597,53564,0
570,597,0
597,81938,0
68216,69972,1
55430,68216,1
68216,267335,1
53564,68216,1
570,68216,0
68216,110015,0
68216,81938,1
55430,69972,1
69972,267335,1
53564,69972,1
570,69972,0
69972,110015,0
69972,81938,1
53564,55430,1
570,55430,0
55430,81938,1
53564,267335,1
570,267335,0
81938,267335,1
53564,81938,1
570,110015,0
570,81938,0
81938,110015,0
53949,76637,1
1989,66347,0
53699,95988,0
53017,95988,0
53017,53699,1
66365,121597,0
53564,121597,1
66347,121597,1
597,66347,0
179,132035,-1
179,180707,-1
3019,76637,1
597,3019,1
96528,128727,-1
5634,66365,-1
132035,189989,1
66365,189989,1
208897,264561,1
76456,247803,-1
6166,115154,1
77171,115154,1
53648,235597,1
597,53251,1
53251,76637,1
597,77107,1
452,53251,1
53251,200066,1
77107,200066,1
53357,189989,1
23154,53564,1
570,58998,1
570,65068,1
570,579,1
2970,65068,1
579,2970,1
58998,65068,1
579,58998,1
1857,58998,1
579,65068,1
1857,65068,1
579,1857,1
58705,124776,1
76637,96528,-1
3804,78172,1
3804,53699,0
3804,62729,1
69557,78172,1
53699,78172,0
57299,78172,1
53648,78172,0
296,78172,1
62729,78172,1
53699,69557,0
62729,69557,1
296,53699,0
53699,62729,0
57299,62729,1
53648,62729,0
296,62729,1
53017,78172,1
5634,53564,1
53777,185686,1
53648,185686,1
53337,185686,1
115061,142350,0
53648,193367,1
3804,6166,-1
6166,78172,-1
3804,145731,0
53017,145731,0
78172,145731,0
2261,76637,0
57536,76637,0
2261,57536,1
2261,67432,1
57536,67432,1
77171,78172,1
296,145731,1
77171,145731,1
3284,53564,0
53564,184190,1
1908,53564,1
3284,184190,-1
1908,3284,0
3284,68216,-1
68216,184190,1
452,62589,1
95988,208897,1
3804,95988,1
53337,208897,1
3804,208897,1
58048,66365,1
16,71915,0
16,81938,1
597,1908,0
1908,71915,0
1908,81938,0
53517,71915,0
53517,81938,0
597,71915,1
71915,81938,0
218,53820,1
3723,71915,0
3723,84066,0
218,3723,0
34,84066,1
34,53357,-1
53357,84066,0
6166,199254,1
452,3019,1
65118,71915,0
111,65118,1
218,65118,1
260,65118,1
630,1589,1
78172,84066,0
78172,79873,1
78172,122034,1
79873,84066,0
84066,122034,0
79873,122034,1
2970,53517,-1
452,202398,1
670,202398,1
105460,202398,1
597,202398,1
53820,125110,1
53648,125110,1
53017,71915,1
53017,62729,1
296,71915,1
62729,71915,1
71915,78172,1
53357,103733,1
452,266333,0
670,266333,-1
110015,266333,0
16,53949,1
53564,200033,1
59120,66347,1
59120,71915,1
3723,147410,0
84066,110015,-1
84066,266333,-1
53699,55076,0
66947,110015,1
103733,131364,1
103733,147410,1
3723,103733,0
53734,131364,1
131364,147410,1
3723,131364,0
53734,147410,1
3723,53734,0
65118,260849,1
196351,264935,1
670,182072,1
597,182072,1
452,156637,1
156637,267335,1
34,156637,1
55430,77107,1
55430,200033,0
54369,266347,1
54369,56198,1
54369,56246,1
56198,266347,1
56246,266347,1
56198,56246,1
55430,66347,0
53777,55430,1
55430,182072,1
55430,208897,1
53337,96528,1
66347,96528,0
53648,96528,1
53777,96528,1
96528,266333,1
96528,182072,1
3150,96528,-1
96528,208897,1
53337,66347,0
597,53337,0
53337,182072,1
53648,66347,0
53777,66347,0
53517,66347,0
66347,266333,0
66347,182072,0
3150,66347,0
66347,208897,0
597,53777,0
597,266333,0
597,3150,0
597,208897,0
16,53777,1
16,182072,1
53648,182072,0
53648,208897,0
53517,53777,1
53777,182072,1
3150,53777,0
53777,208897,1
53517,182072,1
