id1,id2,val
53603,229126,0
53603,53648,1
7977,53603,1
515,53603,-1
53603,264561,1
53603,67432,1
53251,53603,0
53648,229126,0
7977,229126,1
515,229126,-1
229126,264561,1
67432,229126,0
53251,229126,1
7977,53648,1
515,53648,1
53648,264561,1
53648,67432,1
53251,53648,-1
515,7977,1
7977,264561,1
7977,67432,0
7977,53251,-1
515,264561,-1
515,67432,-1
515,53251,0
67432,264561,1
53251,264561,1
53251,67432,1
90517,229126,1
7977,90517,1
53777,90517,0
55430,90517,1
90517,236152,0
53777,229126,1
55430,229126,1
229126,236152,0
7977,53777,1
7977,55430,1
7977,236152,0
53777,55430,1
53777,236152,1
55430,236152,0
53280,90517,1
53280,229126,1
2970,53392,1
53603,57536,1
2970,57536,1
23154,57536,-1
2970,53603,1
23154,53603,-1
2970,23154,1
56246,61256,1
56246,72736,-1
56246,256222,1
56246,205461,1
3104,56246,-1
61256,72736,-1
61256,256222,1
61256,205461,1
3104,61256,-1
72736,256222,-1
72736,205461,-1
3104,72736,1
205461,256222,1
3104,256222,-1
3104,205461,-1
53603,125110,0
53648,90517,0
53949,56120,1
597,53949,1
53949,56246,1
16,53949,1
597,56120,1
56120,56246,1
16,56120,1
597,56246,1
16,597,1
16,56246,1
76799,247803,1
82,266333,0
55076,247803,1
55743,247803,1
95988,247803,1
55076,55743,1
55076,95988,0
55743,95988,1
82,249324,-1
53940,63581,-1
55076,69557,-1
69557,95988,0
53355,53648,1
53648,55076,1
597,55076,-1
597,53648,-1
53603,90517,-1
53603,53699,-1
53603,110015,-1
53699,90517,1
90517,110015,1
53648,53699,-1
53648,110015,-1
53699,110015,1
229126,266333,0
53251,266333,1
90517,125110,1
55076,267335,0
53648,267335,0
55076,76799,1
5634,53603,-1
53017,95988,-1
68546,95988,-1
53017,68546,1
6166,57944,-1
53648,57944,-1
55430,57944,1
5634,57944,1
57299,57944,-1
6166,53648,0
6166,55430,-1
5634,6166,0
6166,57299,0
53648,55430,0
5634,53648,-1
53648,57299,1
5634,55430,1
55430,57299,0
5634,57299,-1
53648,55645,0
55076,55645,1
53648,65792,1
194380,241630,1
66365,241630,-1
53357,241630,1
180707,241630,1
241630,280351,1
66848,241630,-1
3723,241630,-1
241630,253514,-1
193367,241630,0
241630,252281,1
57186,241630,1
11277,241630,1
53357,66365,-1
66365,180707,-1
66365,280351,-1
66365,66848,1
3723,66365,1
66365,253514,1
66365,193367,0
66365,252281,0
57186,66365,-1
11277,66365,-1
53357,180707,1
53357,280351,1
53357,66848,-1
3723,53357,-1
53357,253514,-1
53357,193367,0
53357,252281,1
53357,57186,1
11277,53357,1
180707,280351,1
66848,180707,-1
3723,180707,-1
180707,253514,-1
180707,193367,0
180707,252281,1
57186,180707,1
11277,180707,1
66848,280351,-1
3723,280351,-1
253514,280351,-1
193367,280351,0
252281,280351,1
57186,280351,1
11277,280351,1
3723,66848,1
66848,253514,1
66848,193367,1
66848,252281,-1
57186,66848,-1
11277,66848,-1
3723,253514,1
