id1,id2,val
570,1857,1
515,570,1
570,7977,1
570,81975,1
111,570,0
570,68546,1
570,55064,1
570,53392,0
570,55205,1
570,65068,1
515,1857,1
515,7977,1
515,81975,1
111,515,-1
515,68546,1
515,55064,1
515,53392,0
515,55205,1
515,65068,1
1857,7977,1
1857,81975,1
111,1857,0
1857,68546,1
1857,55064,1
1857,53392,1
1857,55205,1
1857,65068,1
7977,81975,1
111,7977,1
7977,68546,1
7977,55064,1
7977,53392,1
7977,55205,1
7977,65068,1
111,81975,-1
68546,81975,1
55064,81975,1
53392,81975,1
55205,81975,1
65068,81975,1
111,68546,0
111,55064,-1
111,53392,0
111,55205,1
111,65068,1
55064,68546,1
53392,68546,1
55205,68546,1
65068,68546,1
53392,55064,1
55064,55205,1
55064,65068,1
53392,55205,1
53392,65068,1
55205,65068,1
53357,253514,-1
103733,253514,1
66365,253514,1
53357,103733,1
53357,66365,-1
66365,103733,1
53648,55076,1
53648,55750,1
53648,53777,1
55076,55750,1
53777,55076,1
53777,55750,1
53648,229126,0
53648,264561,1
630,53648,1
53777,229126,1
229126,264561,1
630,229126,1
53777,264561,1
630,53777,1
630,264561,1
66365,253524,-1
190998,253524,1
95988,125110,-1
7977,125110,1
57536,125110,1
125110,264935,1
53648,125110,1
124142,125110,1
125110,205461,-1
7977,95988,-1
57536,95988,-1
95988,264935,-1
53648,95988,-1
95988,124142,-1
95988,205461,1
7977,57536,1
7977,264935,1
7977,53648,1
7977,124142,1
7977,205461,-1
57536,264935,1
53648,57536,1
57536,124142,1
57536,205461,0
53648,264935,1
124142,264935,1
205461,264935,-1
53648,124142,1
53648,205461,-1
124142,205461,-1
103733,180707,1
452,250141,1
95988,250141,1
55205,250141,-1
53820,250141,-1
250141,253043,-1
57536,250141,-1
23154,250141,1
63357,250141,-1
58851,250141,-1
53251,250141,1
53648,250141,-1
250141,264935,0
125110,250141,-1
8489,250141,-1
80233,250141,-1
124142,250141,-1
250141,260059,-1
452,95988,1
452,55205,-1
452,53820,-1
452,253043,-1
452,57536,1
452,23154,1
452,63357,-1
452,58851,-1
452,53251,1
452,53648,-1
452,264935,0
452,125110,-1
452,8489,-1
452,80233,-1
452,124142,-1
452,260059,-1
55205,95988,-1
53820,95988,-1
95988,253043,-1
23154,95988,1
63357,95988,-1
58851,95988,-1
53251,95988,1
8489,95988,-1
80233,95988,-1
95988,260059,-1
53820,55205,1
55205,253043,1
55205,57536,1
23154,55205,-1
55205,63357,1
55205,58851,1
53251,55205,-1
53648,55205,1
55205,264935,0
55205,125110,1
8489,55205,1
55205,80233,1
55205,124142,1
55205,260059,1
53820,253043,1
53820,57536,1
23154,53820,-1
53820,63357,1
53820,58851,1
53251,53820,-1
53648,53820,1
53820,264935,0
53820,125110,1
8489,53820,1
53820,80233,1
53820,124142,1
53820,260059,1
57536,253043,1
23154,253043,-1
63357,253043,1
58851,253043,1
53251,253043,-1
53648,253043,1
253043,264935,0
125110,253043,1
8489,253043,1
80233,253043,1
124142,253043,1
253043,260059,1
23154,57536,-1
57536,63357,1
57536,58851,1
53251,57536,-1
8489,57536,1
57536,80233,1
57536,260059,1
23154,63357,-1
23154,58851,-1
23154,53251,1
23154,53648,-1
23154,264935,0
23154,125110,-1
8489,23154,-1
23154,80233,-1
23154,124142,-1
23154,260059,-1
58851,63357,1
53251,63357,-1
53648,63357,1
63357,264935,0
63357,125110,1
8489,63357,1
63357,80233,1
63357,124142,1
63357,260059,1
53251,58851,-1
53648,58851,1
58851,264935,0
58851,125110,1
8489,58851,1
58851,80233,1
58851,124142,1
58851,260059,1
53251,53648,-1
53251,264935,0
53251,125110,-1
8489,53251,1
53251,80233,-1
53251,124142,-1
53251,260059,-1
8489,53648,1
53648,80233,1
53648,260059,1
8489,264935,0
80233,264935,0
260059,264935,0
8489,125110,0
80233,125110,1
125110,260059,1
8489,80233,1
8489,124142,1
8489,260059,1
80233,124142,1
80233,260059,1
124142,260059,1
103733,268485,0
103733,266333,1
57299,103733,1
103733,124241,-1
111,103733,1
266333,268485,0
57299,268485,0
66365,268485,1
124241,268485,0
111,268485,0
57299,266333,1
66365,266333,-1
124241,266333,1
111,266333,-1
57299,66365,-1
57299,124241,1
111,57299,-1
66365,124241,-1
111,66365,1
111,124241,-1
5634,53310,1
55430,63357,-1
55430,67432,-1
515,55430,1
55430,81475,1
55076,55430,-1
53648,55430,-1
53337,55430,0
63357,67432,-1
515,63357,-1
63357,81475,0
55076,63357,-1
53337,63357,0
515,67432,-1
67432,81475,-1
55076,67432,1
53648,67432,1
53337,67432,1
515,81475,0
515,55076,1
515,53648,1
515,53337,1
55076,81475,0
53648,81475,-1
53337,81475,-1
53337,55076,1
53337,53648,1
53310,53337,-1
66848,103733,1
55430,103733,0
56117,103733,1
58048,103733,1
452,103733,1
16,103733,1
103733,254764,1
53564,103733,-1
59120,103733,1
55430,66848,1
66848,180707,1
56117,66848,1
58048,66848,1
452,66848,1
16,66848,1
66848,254764,1
111,66848,1
66365,66848,1
53564,66848,1
59120,66848,1
55430,180707,1
55430,56117,1
55430,58048,1
452,55430,1
16,55430,1
55430,254764,1
111,55430,1
55430,66365,1
53564,55430,1
55430,59120,1
56117,180707,1
58048,180707,1
452,180707,1
16,180707,1
180707,254764,1
111,180707,1
66365,180707,0
53564,180707,0
59120,180707,1
56117,58048,1
452,56117,1
16,56117,1
56117,254764,1
111,56117,1
56117,66365,1
53564,56117,1
56117,59120,1
452,58048,1
16,58048,1
58048,254764,1
111,58048,1
58048,66365,1
53564,58048,1
58048,59120,1
16,452,1
452,254764,1
111,452,1
452,66365,1
452,53564,1
452,59120,1
16,254764,1
16,111,1
16,66365,1
16,53564,1
16,59120,1
111,254764,1
66365,254764,1
53564,254764,1
59120,254764,1
111,53564,1
111,59120,1
53564,66365,0
59120,66365,0
53564,59120,1
53357,58048,1
53357,66848,-1
53357,56117,1
263,67432,1
23154,67432,-1
67432,264561,1
263,81475,1
263,23154,-1
263,264561,1
23154,81475,-1
81475,264561,-1
23154,264561,-1
55430,65068,1
111,6166,1
55430,69557,-1
69557,81475,0
53648,69557,0
5634,55430,1
55430,56246,1
55430,57944,1
55430,70120,1
55430,60285,1
260,55430,1
55430,124241,-1
218,55430,1
55430,229126,1
5634,56246,1
5634,57944,1
5634,70120,1
5634,60285,1
